CodigoDepartamento,NombreDepartamento,CodigoMunicipio,municipio,nombrecomercial,bandera,direccion,producto,precio,estado,fecharegistro,periodo
10,CORDOBA,460,MONTERIA,ESTACION DE SERVICIO TERPEL EL CORTIJO,TERPEL,CALLE 29 No. 20-195,GASOLINA CORRIENTE OXIGENADA,9270,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
18,NORTE DE SANTANDER,811,ABREGO,ESTACION DE SERVICIO OROPOMA,COOMULPINORT,KILOMETRO 16MAS0233 HASTA KILOMETRO 16MAS0473 VIA OCAÑA- CUCUTA VEREDA OROPOMA,BIODIESEL EXTRA,6650,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
14,LA GUAJIRA,674,BARRANCAS,EDS AUTOMOTRIZ SAN MARKANDA No 2,AYATAWACOOP,CERREJON ZONA CENTRO CASERIA DE PATILLA,GASOLINA CORRIENTE,7250,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
6,CALDAS,353,ANSERMA,ESTACION DE SERVICIO UNION,TERPEL,Carrera 3 No. 3-22,BIODIESEL EXTRA,9450,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,789,POLICARPA,ESTACION DE SERVICIO LA LLEGADA,BIOMAX,CORREGIMIENTO ESPECIAL DEL MUNICIPIO DE POLICARPA,GASOLINA CORRIENTE OXIGENADA,8500,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
14,LA GUAJIRA,681,MAICAO,ESTACION DE SERVICIO GF,AYATAWACOOP,CARRERA 4 No. 15-05,ACEM - DIESEL ECOLOGICO,6400,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
23,TOLIMA,1021,PRADO,ESTACION DE SERVICIO PRADO BIOMAX,BIOMAX,CARRERA 5 CALLE 12 ESQUINA,GASOLINA CORRIENTE OXIGENADA,9870,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
4,BOLIVAR,195,EL CARMEN DE BOLIVAR,GASOLINERA DONDE ADA,PETROMIL,CALLE 27 No. 32-01 BARRIO LA CONCORDIA,BIODIESEL EXTRA,8350,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
24,VALLE DEL CAUCA,1035,CALI,ESTACION DE SERVICIO AUTOMOTRIZ COMBUSCOL SAN FERNANDO,TEXACO,Calle 5 Nro. 25 - 20,GASOLINA CORRIENTE OXIGENADA,9710,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
3,BOGOTA D.C.,182,"BOGOTA, D.C.",EDS MOBIL SANTA ANNA,ESSO,CALLE 11 SUR No. 7-13,BIODIESEL EXTRA,8669,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
14,LA GUAJIRA,674,BARRANCAS,EDS EL SIBONEY,DISCOWACOOP,CALLE 9 No. 18 - 60,BIODIESEL EXTRA,6500,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
15,MAGDALENA,687,SANTA MARTA,ESTACION DE SERVICIO AUTOMOTRIZ TERPEL FERROCARRIL SANTA MARTA,TERPEL,CARRERA 21 No. 29 L4 250,BIODIESEL EXTRA,8880,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,95,JERICO,EDS PUENTE IGLESIAS,TEXACO,VEREDA PUENTE IGLESIAS,BIODIESEL EXTRA,9276,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
22,SUCRE,975,MORROA,ESTACION DE SERVICIO LA LOMA DE MORROA,TERPEL,CARRETERA TRONCAL DE OCCIDENTE VIA COROZAL SINCELEJO,BIODIESEL EXTRA,8930,A,07/08/2019 12:00:00 AM,07/01/2019 12:00:00 AM
22,SUCRE,975,MORROA,ESTACION DE SERVICIO LA LOMA DE MORROA,TERPEL,CARRETERA TRONCAL DE OCCIDENTE VIA COROZAL SINCELEJO,GASOLINA EXTRA OXIGENADA,10800,A,07/08/2019 12:00:00 AM,07/01/2019 12:00:00 AM
4,BOLIVAR,183,CARTAGENA DE INDIAS,ESTACION DE SERVICIO MAMONAL,MOBIL,KILOMETRO 9 VIA MAMONAL,BIODIESEL EXTRA,8650,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
3,BOGOTA D.C.,182,"BOGOTA, D.C.",EDS TEXACO 7 DE AGOSTO,TEXACO,CARRERA 15 No.  67-49,GASOLINA CORRIENTE OXIGENADA,9780,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
4,BOLIVAR,224,TURBACO,ESTACION DE SERVICIO LA GIRALDA,TERPEL,CARRERA 15 No. 26-725,BIODIESEL EXTRA,8908,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,117,RETIRO,ESTACION DE SERVICIOS EL CHUSCAL,TEXACO,VERDA EL CHUSCAL,GASOLINA CORRIENTE OXIGENADA,9710,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
24,VALLE DEL CAUCA,1035,CALI,OPECOM EDS LA RIVERA,TERPEL,CALLE 70  No. 4-51,GASOLINA EXTRA OXIGENADA,12130,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
20,RISARALDA,862,PEREIRA,ESTACION DE SERVICIO SANTA BARBARA,BIOMAX,KM 14 VIA PEREIRA CERRITOS,GASOLINA EXTRA OXIGENADA,12440,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,568,SAN FRANCISCO,EDS LA FLORESTA,TEXACO,LOTE PORCION B KILOMETRO 46 00 AUTO. BOGOTÁ - MEDELLÍN VEREDA ARRAYAN BAJO SAN FRACISCO,GASOLINA CORRIENTE OXIGENADA,9610,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,100,LIBORINA,ESTACION DE SERVICIO LIBORINA,ZEUSS,CALLE 8 No. 12-133,GASOLINA CORRIENTE OXIGENADA,9740,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,34,MEDELLIN,BOMBA LA V,ZEUSS,CARRERA 15 No. 50-75,BIODIESEL EXTRA,9190,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
23,TOLIMA,990,ALVARADO,ESTACION DE SERVICIO CALDAS VIEJO,BIOMAX,VEREDA RINCON DE CHIPALO,BIODIESEL EXTRA,8720,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,155,YARUMAL,ESTACION DE SERVICIO ANA MARIA,TEXACO,LA VARIANTE KILOMETRO 2 FINCA LOS PICADORES,GASOLINA CORRIENTE OXIGENADA,9860,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
